Sort 1,,,,,,,,Data Size,Average Comparisons,,,,Shell Sort,Quick Sort,Insertion Sort
,14,51,,,,,Sort1,x < 2000,313922.3704,,,Length of List,Sort 1,Sort 2,Sort 3
,19,83,,,,,,2000<=x<4000,2289744.242,,,0-2000,6554.374359,15531.62189,313922.3704
,37,305,,,,,,4000<=x<6000,6121142.145,,,2000-4000,22295.205,70935.075,2289744.242
,52,625,,,,,,6000<=x<8000,12443533.17,,,4000-6000,42870.06633,168400.1422,6121142.145
,52,600,,,,,,8000<=x<10000,19972230.68,,,6000-8000,59130.73684,297787,12443533.17
,57,834,,,,,Sort2,x < 2000,15531.62189,,,8000-10000,81016.96517,605640.3265,19972230.68
,68,1090,,,,,,2000<=x<4000,70935.075,,,,,,
,77,1309,,,,,,4000<=x<6000,168400.1422,,,,,,
,85,1664,,,,,,6000<=x<8000,297787,,,,,,
,92,2021,,,,,,8000<=x<10000,605640.3265,,,,,,
,108,2807,,,,,Sort 3,x < 2000,6554.374359,,,,,,
,116,3302,,,,,,2000<=x<4000,22295.205,,,,,,
,137,4221,,,,,,4000<=x<6000,42870.06633,,,,,,
,150,6118,,,,,,6000<=x<8000,59130.73684,,,,,,
,151,5469,,,,,,8000<=x<10000,81016.96517,,,,,,
,156,6105,,,,,,,,,,,,,
,157,6172,,,,,,,,,,,,,
,159,5767,,,,,,,,,,,,,
,170,6246,,,,,,,,,,,,,
,171,7287,,,,,,,,,,,,,
,174,7209,,,,,,,,,,,,,
,178,7446,,,,,,,,,,,,,
,189,9108,,,,,,,,,,,,,
,201,10091,,,,,,,,,,,,,
,205,9907,,,,,,,,,,,,,
,225,11753,,,,,,,,,,,,,
,241,13874,,,,,,,,,,,,,
,243,14727,,,,,,,,,,,,,
,245,16190,,,,,,,,,,,,,
,246,13850,,,,,,,,,,,,,
,246,14692,,,,,,,,,,,,,
,251,14757,,,,,,,,,,,,,
,256,15740,,,,,,,,,,,,,
,278,18118,,,,,,,,,,,,,
,296,22493,,,,,,,,,,,,,
,301,21404,,,,,,,,,,,,,
