Sort 1,,,,,,,,,,
Sort 1,14,64,,Data Size,Average Exchanges,,Shell Sort,Shell Sort,Quick Sort,Insertion Sort
,19,101,Sort1,x < 2000,314888.713,,,Sort 1,Sort 2,Sort 3
,37,341,,2000<=x<4000,2292732.237,,0-2000,20343.57426,10397.81095,314888.713
,52,676,,4000<=x<6000,6126083.21,,2000-4000,51608.62,30492.51,2292732.237
,52,651,,6000<=x<8000,12450605.18,,4000-6000,98065.70408,51710.64455,6126083.21
,57,890,,8000<=x<10000,19981196.03,,6000-8000,135382.8804,71484.6943,12450605.18
,68,1157,Sort2,x < 2000,10397.81095,,8000-10000,185696.393,218382.6224,19981196.03
,77,1385,,2000<=x<4000,30492.51,,,,,
,85,1748,,4000<=x<6000,51710.64455,,,,,
,92,2112,,6000<=x<8000,71484.6943,,,,,
,108,2914,,8000<=x<10000,218382.6224,,,,,
,116,3417,Sort 3,x < 2000,20343.57426,,,,,
,137,4357,,2000<=x<4000,51608.62,,,,,
,150,6267,,4000<=x<6000,98065.70408,,,,,
,151,5619,,6000<=x<8000,135382.8804,,,,,
,156,6260,,8000<=x<10000,185696.393,,,,,
,157,6328,,,,,,,,
,159,5925,,,,,,,,
,170,6415,,,,,,,,
,171,7457,,,,,,,,
,174,7382,,,,,,,,
,178,7623,,,,,,,,
,189,9296,,,,,,,,
,201,10291,,,,,,,,
,205,10111,,,,,,,,
,225,11977,,,,,,,,
,241,14114,,,,,,,,
,243,14969,,,,,,,,
,245,16434,,,,,,,,
,246,14095,,,,,,,,
,246,14937,,,,,,,,
,251,15007,,,,,,,,
,256,15995,,,,,,,,
,278,18395,,,,,,,,
,296,22788,,,,,,,,
,301,21704,,,,,,,,
,310,24203,,,,,,,,
,333,26293,,,,,,,,
,339,29829,,,,,,,,
,356,28564,,,,,,,,
,360,33776,,,,,,,,
,370,33536,,,,,,,,
,400,40846,,,,,,,,
,406,41723,,,,,,,,
,413,44039,,,,,,,,
,417,44494,,,,,,,,
,438,48645,,,,,,,,
